city_name,country,date,lat,lon,max_temp_C,max_temp_F,cloud_cover%,humidity%,wind_speed
Rucheng,CN,1613566212,32.3883,120.5553,3.330000000000041,37.99400000000007,0.0,59.0,1.7
Mwinilunga,ZM,1613566212,-11.7358,24.4293,24.670000000000016,76.40600000000003,100.0,70.0,1.9
Flinders,AU,1613566212,-34.5833,150.8552,21.110000000000014,69.99800000000002,30.0,76.0,0.89
Cabedelo,BR,1613566212,-6.9811,-34.8339,30.0,86.0,75.0,66.0,4.63
Bambous Virieux,MU,1613566212,-20.3428,57.7575,29.0,84.2,75.0,79.0,1.54
Linares,CL,1613566106,-35.85,-71.6,15.710000000000036,60.27800000000006,3.0,62.0,1.05
Dali,CN,1613566213,25.7,100.1833,10.300000000000011,50.54000000000002,0.0,47.0,2.83
Cayenne,GF,1613566213,4.9333,-52.3333,27.0,80.6,20.0,65.0,5.66
Tuatapere,NZ,1613566214,-46.1333,167.6833,9.439999999999998,48.992,1.0,88.0,0.89
Noumea,NC,1613566038,-22.2763,166.4572,27.78000000000003,82.00400000000005,0.0,94.0,1.03
Coyhaique,CL,1613566048,-45.5752,-72.0662,13.0,55.400000000000006,75.0,62.0,1.54
Kaitangata,NZ,1613566215,-46.2817,169.8464,10.560000000000002,51.00800000000001,95.0,82.0,0.45
Daru,PG,1613566215,-9.0763,143.2092,25.840000000000032,78.51200000000006,100.0,82.0,2.94
San Policarpo,PH,1613566216,12.1791,125.5072,25.82000000000005,78.47600000000008,100.0,83.0,8.37
San Jose,US,1613566216,37.3394,-121.895,6.670000000000016,44.00600000000003,1.0,87.0,2.06
Merauke,ID,1613566216,-8.4667,140.3333,25.930000000000007,78.674,97.0,85.0,4.17
Sinop Province,TR,1613566217,41.7711,34.8709,1.0,33.8,75.0,69.0,9.26
Alexandria,EG,1613566208,31.2156,29.9553,11.0,51.8,40.0,66.0,8.75
Ambulu,ID,1613566217,-8.345,113.6058,25.850000000000023,78.53000000000004,100.0,85.0,3.12
Fort Nelson,CA,1613566217,58.8053,-122.7002,-26.99999999999997,-16.59999999999995,1.0,76.0,1.54
Dunedin,NZ,1613565921,-45.8742,170.5036,10.560000000000002,51.00800000000001,0.0,76.0,0.45
Sunndalsøra,NO,1613566218,62.6754,8.5515,5.0,41.0,0.0,42.0,2.57
Kuala Terengganu,MY,1613565937,5.3302,103.1408,27.0,80.6,20.0,65.0,3.09
Fort Saint James,CA,1613566218,54.4333,-124.25,-14.919999999999959,5.144000000000073,42.0,93.0,1.1
Seoul,KR,1613565642,37.5683,126.9778,-8.0,17.6,20.0,48.0,6.69
Yar-Sale,RU,1613566218,66.8333,70.8333,-32.73999999999998,-26.931999999999967,56.0,83.0,4.66
Sungai Penuh,ID,1613566219,-2.0833,101.3833,19.07000000000005,66.32600000000009,100.0,96.0,0.07
Itaguaí,BR,1613566078,-22.8522,-43.7753,29.0,84.2,0.0,61.0,4.63
Airai,TL,1613566219,-8.9266,125.4092,16.560000000000002,61.80800000000001,100.0,100.0,0.68
Santa Vitória do Palmar,BR,1613566219,-33.5189,-53.3681,21.900000000000034,71.42000000000007,49.0,83.0,3.86
Bredasdorp,ZA,1613566219,-34.5322,20.0403,27.0,80.6,2.0,44.0,5.14
