city_name,country,date,lat,lon,max_temp_C,cloud_cover%,humidity%,wind_speed
Sawang Daen Din,TH,1609884282,17.4753,103.4575,16.670000000000016,39.0,86.0,2.98
Belison,PH,1609884283,10.8384,121.9605,24.82000000000005,92.0,80.0,2.76
Sungai Penuh,ID,1609884283,-2.0833,101.3833,17.360000000000014,95.0,93.0,1.65
Saldanha,ZA,1609884283,-33.0117,17.9442,18.0,0.0,82.0,4.6
Port Hedland,AU,1609884283,-20.3167,118.5667,26.0,90.0,54.0,6.7
Navoiy,UZ,1609884257,40.0844,65.3792,-7.0,90.0,92.0,2.1
Shorap’ani,GE,1609884284,42.0898,43.0866,12.0,0.0,18.0,10.8
Mandlā,IN,1609884284,22.6,80.3833,18.29000000000002,73.0,48.0,1.1
Cayenne,GF,1609884284,4.9333,-52.3333,27.0,0.0,83.0,2.1
Aripuanã,BR,1609884284,-9.1667,-60.6333,25.970000000000027,53.0,90.0,1.07
Temba,ZA,1609884284,-25.3803,28.2631,23.33000000000004,75.0,83.0,1.0
Ves'yegonsk,RU,1609884285,58.664,37.2604,-6.229999999999961,100.0,98.0,1.39
Chilca,PE,1609884285,-12.5211,-76.7372,23.33000000000004,0.0,78.0,4.6
Nsanje,MW,1609884285,-16.92,35.262,25.07000000000005,0.0,77.0,0.93
Rocky Mountain House,CA,1609884274,52.3668,-114.9188,0.0,29.0,93.0,3.1
Hambantota,LK,1609884285,6.1241,81.1185,23.0,0.0,100.0,1.5
Pacific Grove,US,1609884286,36.6177,-121.9166,16.0,1.0,55.0,1.5
Husavik,IS,1609884286,66.0449,-17.3389,0.0,20.0,92.0,3.06
Kelo,TD,1609884286,9.3086,15.8066,24.54000000000002,0.0,19.0,1.16
Paraíso,CR,1609884286,9.8383,-83.8656,23.0,20.0,64.0,8.2
Bay Roberts,CA,1609884287,47.5999,-53.2648,2.7800000000000296,90.0,100.0,9.3
Águilas,ES,1609884287,37.4063,-1.5829,7.78000000000003,100.0,62.0,1.34
Hong Kong,HK,1609884287,22.2855,114.1577,16.670000000000016,66.0,72.0,0.89
Marsá Maţrūḩ,EG,1609884288,31.3525,27.2453,17.0,75.0,77.0,3.6
Yārāda,IN,1609884288,17.65,83.2667,23.0,29.0,88.0,1.0
Port Lincoln,AU,1609884288,-34.7333,135.8667,15.640000000000043,100.0,68.0,7.47
Malanje,AO,1609884289,-9.5402,16.341,17.610000000000014,0.0,96.0,1.4
Grindavik,IS,1609884289,63.8424,-22.4338,1.0,75.0,86.0,5.7
Bemidji,US,1609884142,47.4736,-94.8803,-0.5600000000000023,1.0,68.0,3.1
Bandarbeyla,SO,1609884290,9.4942,50.8122,22.80000000000001,1.0,68.0,8.26
Amazar,RU,1609884290,53.858,120.875,-31.44999999999999,49.0,79.0,1.98
Valdivia,CL,1609884150,-39.8142,-73.2459,28.0,0.0,39.0,4.1
Karratha,AU,1609884291,-20.7377,116.8463,28.220000000000027,44.0,42.0,9.72
Constitución,CL,1609884291,-35.3333,-72.4167,17.49000000000001,4.0,61.0,6.44
Mampong,GH,1609884291,7.0627,-1.4001,24.920000000000016,68.0,77.0,3.52
Half Moon Bay,US,1609884292,37.4636,-122.4286,13.330000000000041,1.0,76.0,2.6
Puerto Escondido,MX,1609884292,15.85,-97.0667,26.0,40.0,74.0,1.5
Hasaki,JP,1609884293,35.7333,140.8333,5.0,75.0,86.0,6.2
Pochutla,MX,1609884293,15.7432,-96.4661,30.0,5.0,51.0,4.6
Kovdor,RU,1609884293,67.5662,30.4758,-13.71999999999997,0.0,95.0,2.06
Salalah,OM,1609884082,17.0151,54.0924,23.0,0.0,27.0,3.6
Natal,BR,1609884274,-5.795,-35.2094,27.0,20.0,78.0,4.6
Klaksvík,FO,1609884294,62.2266,-6.589,7.0,100.0,93.0,5.7
Coyhaique,CL,1609884294,-45.5752,-72.0662,25.0,0.0,22.0,4.6
Huarmey,PE,1609884294,-10.0681,-78.1522,22.350000000000023,96.0,79.0,4.1
Treznea,RO,1609884295,47.1,23.1167,5.0,40.0,86.0,0.5
Yanam,IN,1609884295,16.7333,82.2167,23.170000000000016,96.0,82.0,2.74
Santa Cruz de La Palma,ES,1609884296,28.6835,-17.7642,20.0,90.0,77.0,1.5
Nouadhibou,MR,1609884296,20.931,-17.0347,20.0,100.0,82.0,5.1
Longyearbyen,SJ,1609884290,78.2186,15.6401,-6.0,90.0,73.0,6.2
Los Llanos de Aridane,ES,1609884296,28.6585,-17.9182,20.0,90.0,77.0,1.5
Geraldton,AU,1609884273,-28.7667,114.6,25.0,26.0,23.0,9.3
Nome,US,1609884297,64.5011,-165.4064,-15.0,90.0,77.0,1.5
Beringovskiy,RU,1609884297,63.05,179.3167,-21.809999999999974,100.0,85.0,5.58
Belmonte,BR,1609884298,-15.8631,-38.8828,26.0,40.0,74.0,3.6
Paraná,AR,1609884298,-31.732,-60.5238,30.560000000000002,94.0,42.0,4.92
Quatre Cocos,MU,1609884299,-20.2078,57.7625,25.0,40.0,83.0,2.6
Casino,AU,1609884300,-28.8667,153.05,25.0,43.0,78.0,1.5
Pangkalanbuun,ID,1609884300,-2.6833,111.6167,23.160000000000025,98.0,98.0,0.96
Tuktoyaktuk,CA,1609884060,69.4541,-133.0374,-26.99999999999997,75.0,75.0,1.5
Atuona,PF,1609884300,-9.8,-139.0333,25.170000000000016,25.0,77.0,7.16
Belyy Yar,RU,1609884301,53.6039,91.3903,-32.99999999999997,27.0,74.0,1.03
Adrar,MR,1609884301,20.5022,-10.0711,20.54000000000002,100.0,35.0,1.24
Aklavik,CA,1609884302,68.2191,-135.0107,-26.99999999999997,100.0,75.0,1.65
Kushiro,JP,1609884302,42.975,144.3747,-9.259999999999991,1.0,88.0,3.07
Merauke,ID,1609884303,-8.4667,140.3333,25.78000000000003,98.0,88.0,4.12
Bay City,US,1609884303,43.5945,-83.8889,2.0,90.0,74.0,3.1
Ormara,PK,1609884049,25.2088,64.6357,17.25,0.0,31.0,6.36
Jacqueville,CI,1609884303,5.2052,-4.4146,28.0,20.0,88.0,1.0
Rimbey,CA,1609884133,52.6334,-114.2353,0.0,5.0,93.0,3.1
Leningradskiy,RU,1609884304,69.3833,178.4167,-23.139999999999986,100.0,87.0,6.3
Camacha,PT,1609884304,33.0833,-16.3333,17.0,20.0,88.0,3.1
Kudahuvadhoo,MV,1609884304,2.6708,72.8944,27.27000000000004,100.0,82.0,7.14
Wewak,PG,1609884304,-3.5534,143.6268,27.910000000000025,100.0,76.0,2.16
